# QIGOA reality-check | script=run_unet.py | experiment=main | data_source=brats | commit=6ef6d4e45c9669398de1c106d10ec700bb6d3ed2 | generated=2026-07-22T01:29:51
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
# A3: class B (learned) — OUT-OF-FOLD ONLY. Trained on all tumour slices of outer-train patients; scored on the single designated slice of held-out patients ('same input' is an INFERENCE constraint).
patient_id,target,method,method_class,fold,seed,checkpoint,dice,hd95,nsd,nsd_tau1,nsd_tau3,nsd_tau5,n_components,empty_mask,mask_hash,data_source,placeholder
BraTS20_Training_063,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9041372351160444,5.385164807134504,0.8733031674208145,0.7737556561085973,0.9230769230769231,0.9457013574660633,3,0,945d5451512da2ed5081f6ecdb8a3227a8c654cbc937be377bdb9ec4e22d25bc,brats,0
BraTS20_Training_064,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.8901232424926228,20.34437916290679,0.6014625228519196,0.42230347349177333,0.7020109689213894,0.8482632541133455,1,0,c0cd1ce03b1af5300e93aab216120126046a2fb6cf7b774e940dfa9444a0f4ec,brats,0
BraTS20_Training_066,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9494252873563218,4.242640687119285,0.8691588785046729,0.822429906542056,0.9003115264797508,0.9781931464174455,1,0,ca431864a8695ef1dbf7badf2161ad1b9fdf5a6633be87deb86dc8db35a4c8c8,brats,0
BraTS20_Training_067,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9628299515173281,2.948528137423855,0.9127134724857685,0.8444022770398482,0.9544592030360531,0.9715370018975332,1,0,ab3a54cc02c10e59b51f6621685182d023abe28406ba5f86d1686f9724f43641,brats,0
BraTS20_Training_081,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9601659751037345,5.541190287833268,0.8639455782312925,0.7721088435374149,0.8945578231292517,0.9387755102040817,1,0,887db99abd840327175b9117c4d84ee9b44c760c4d2efbd9a0329c982d646fd2,brats,0
BraTS20_Training_083,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9609155689915785,3.272498073958788,0.927734375,0.86328125,0.94921875,0.96875,1,0,6a42156a34396faf013ea524cc84d34e6df92701192a640dae2d9ffaf4a59193,brats,0
BraTS20_Training_087,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.5709362435381964,16.963621213916685,0.27125506072874495,0.20647773279352227,0.3562753036437247,0.46558704453441296,2,0,46118db3c3a2bd69db4a5386949029ff404f82b4468986b567abffd4a2ce4a26,brats,0
BraTS20_Training_089,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.7732074064868896,15.0,0.5770528683914511,0.49268841394825647,0.6614173228346457,0.750281214848144,4,0,171528c779169462624c489b7eb435990ee801bc177569c16fea4941c44a961b,brats,0
BraTS20_Training_098,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.978386167146974,1.1242640687119096,0.9696969696969697,0.9494949494949495,0.9878787878787879,0.9939393939393939,2,0,c30bea50e861e5a40ce3199a6033416601f4288dff74c38c86b115d3bee568bc,brats,0
BraTS20_Training_111,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9413976809777499,3.0567971810589274,0.8870056497175142,0.7570621468926554,0.9491525423728814,0.9830508474576272,1,0,9c99f8cdd2fca89566dd3447d23b92f8a7de1423a865d012e4d5925394f3feee,brats,0
