# QIGOA reality-check | script=run_ceiling.py::_summarise | experiment=ceiling | data_source=brats | commit=1461520d7785c65a06704e47ba229ddde0b2d9ff | generated=2026-07-17T18:31:26
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
target,include_zero_bg,method,method_class,n_patients,dice_median,dice_q1,dice_q3,dice_ci_low,dice_ci_high,hd95_median,nsd_median,n_components_median,empty_mask_rate,placeholder
et_t1ce,na,gmm,A: unsupervised per-image,368,0.0578455421749079,0.0203180749153485,0.1032817565440487,0.0516582032474453,0.06787854898211546,96.73103321164399,0.0,1.0,0.0,0
et_t1ce,na,li,A: unsupervised per-image,368,0.0578455421749079,0.0203180749153485,0.1032817565440487,0.051889580141459904,0.06789170184446586,96.72768941877142,0.0,1.0,0.0,0
et_t1ce,na,triangle,A: unsupervised per-image,368,0.0578455421749079,0.0203180749153485,0.1032817565440487,0.0516582032474453,0.06787854898211546,96.73103321164399,0.0,1.0,0.0,0
et_t1ce,na,kmeans,A: unsupervised per-image,368,0.0599197222373074,0.02095918177507975,0.10844490253961565,0.054905865094055,0.069931884528057,95.08625245677575,0.0137308624583065,5.0,0.0,0
et_t1ce,na,otsu,A: unsupervised per-image,368,0.0599197222373074,0.02095918177507975,0.10844490253961565,0.054905865094055,0.069931884528057,95.08625245677575,0.0137308624583065,5.0,0.0,0
et_t1ce,false,P5-percentile@n5,B: learned (out-of-fold only),368,0.4742587218640909,0.16836143228238165,0.6146648736072614,0.4433374844333748,0.5156445556946183,73.5725503031118,0.45433976015371363,52.5,0.0,0
et_t1ce,true,P5-percentile@n10,B: learned (out-of-fold only),368,0.4742587218640909,0.16836143228238165,0.6146648736072614,0.4431960049937578,0.5155642023346303,73.53293097237277,0.45433976015371363,52.0,0.0,0
et_t1ce,true,P5-percentile@n5,B: learned (out-of-fold only),368,0.4742587218640909,0.16836143228238165,0.6146648736072614,0.4431960049937578,0.5155642023346303,73.53293097237277,0.45433976015371363,52.0,0.0,0
et_t1ce,true,P5-percentile@n20,B: learned (out-of-fold only),368,0.47511969333369986,0.16836143228238165,0.6130436901834087,0.4431960049937578,0.5156445556946183,73.58493938851973,0.4504944045476178,53.0,0.0,0
et_t1ce,false,P5-percentile@n10,B: learned (out-of-fold only),368,0.4781830823805357,0.16836143228238165,0.6149566905615292,0.4433374844333748,0.5147825749448427,73.5725503031118,0.4540980750805679,52.5,0.0,0
