algorithm,k,fitness,fit_std,psnr,ssim,dice,iou,time
GA,3,402.2403336642327,1.4319000877254942,22.895787727960858,0.9004829614602702,0.657583507486977,0.5021789327165844,0.9482704716975514
GA,5,743.9092505592042,0.20745109500566503,30.857377726018502,0.9896354287686332,0.6114347692542867,0.4520278808266195,1.1015929963798863
GA,8,1183.633432267717,1.7387414407436501,34.60589305412033,0.9956723257068665,0.4652672654207536,0.31109064435877115,1.3332877432050556
GOA,3,387.03834069583337,7.332935660151369,24.294880201142117,0.9250356868975358,0.6516268261685149,0.5012099617030538,0.7714011910999579
GOA,5,674.9743134085688,21.98963026580694,29.965493876875673,0.9861447982818407,0.5681641832700417,0.4139584397879088,0.909901845700133
GOA,8,1046.5830818710606,35.07537802715789,33.064539810221234,0.993619530424005,0.4453915120272599,0.3041459844269757,1.1132429223475993
GWO,3,403.13199132242215,0.924886759762199,23.90552547823555,0.919421644566895,0.6782518187493449,0.528217232444339,0.7382506605348771
GWO,5,743.8039443669899,0.5115646130204088,30.906446123087733,0.9897538093128178,0.6149389595100098,0.4556304883311735,0.8694915101274636
GWO,8,1182.5410255561815,2.875640213414051,34.68215030929294,0.9957768426382045,0.4743166211509203,0.31881925012683665,1.0782990844550477
MPA,3,403.29824704827763,0.6356708154768709,24.69061993027262,0.9350897175294877,0.6972200762999322,0.5526247982074175,0.5818595698601894
MPA,5,743.8294085090146,0.3699596564012705,30.780605184642695,0.9894099139222196,0.6078645901914813,0.4482633285488801,0.7202085203925527
MPA,8,1177.025922948608,6.666644168715893,34.335916802102886,0.9953426939383304,0.43511097499994805,0.2853454688970276,0.9294820386451557
PSO,3,402.47697106978677,1.05775166087609,22.922403828478753,0.9011151503751769,0.6577719027853401,0.503086201503311,0.5133426553198478
PSO,5,744.0836143226019,0.06348223671982121,30.901048867185978,0.98975331492196,0.6145375818186665,0.45532070071515485,0.6479454606477247
PSO,8,1184.5855409649093,0.8608267645081235,34.65594956168111,0.9957391842830281,0.47266095970925165,0.31732819352536257,0.8612912221026454
QIGOA,3,401.7130559739798,0.9915437392849803,22.384391524693793,0.8914218370263256,0.6474590993688691,0.4898706790574162,0.8779553325674623
QIGOA,5,743.7375024059336,0.32469439554057283,30.779824659275725,0.9891527617923244,0.6111191181014572,0.45180434389051155,1.0257722993225524
QIGOA,8,1181.6705711775778,3.788814819000172,34.64364092053439,0.9956987618945519,0.46587138510041254,0.3119765502162767,1.2478246657324963
WOA,3,403.19698549475913,0.9694918507717775,24.03536033599245,0.9233095525965102,0.6768030318593105,0.5261610658505991,0.5862972259250819
WOA,5,742.8589674550537,1.759500080208707,30.8526352482695,0.9894883987648854,0.612848837248091,0.4535738032197466,0.7182734392050679
WOA,8,1181.5777648565504,3.0709025582130587,34.68595205178808,0.9957745066914961,0.47444032021739985,0.3187376454365243,0.9255129365349694
