algorithm,k,fitness,fit_std,psnr,ssim,dice,iou,time
GA,6,21.541285502276377,0.007249778957475415,32.17513668885165,0.9918625611565097,0.5791131066080475,0.41716993106994327,1.9322181441024395
GA,8,26.573026808566983,0.018720654787373697,34.651112041357614,0.9957145660781006,0.5016656292879665,0.34311528878920716,2.210749322759875
GA,10,31.116030195913094,0.026628427041660192,36.479377725837246,0.9971925984503793,0.4359509286534922,0.285705471228236,2.4910537202025034
GOA,6,20.692258072487014,0.284028875364584,31.22497184535384,0.9891169663996386,0.5516115826341363,0.397050022051141,1.6372925485350378
GOA,8,25.188921076010853,0.38849230173294325,33.00477383049846,0.993399765363313,0.4719850922673806,0.3252987273244875,1.8923229598125317
GOA,10,29.16994443807575,0.500548327614806,34.408625953775946,0.9951722920615452,0.41190196597507134,0.27242724779626976,2.1520307478800986
GWO,6,21.539242695421013,0.0112724675950459,32.274786469970955,0.9923814943852165,0.5864085721192345,0.4244443860367057,1.5881106346825982
GWO,8,26.564315855105427,0.028942818100591163,34.75137504885693,0.9958416784057229,0.5145308477299166,0.3549861953284777,1.845172007967499
GWO,10,31.09584344142217,0.04250702548579909,36.57651832518247,0.9972792680614015,0.45996084438601004,0.30620882737316457,2.094290977082424
MPA,6,21.535350548181903,0.013564616970823371,32.19621167368761,0.9922924779604545,0.5763365782545922,0.41500711922443756,1.4052831140950093
MPA,8,26.51725120230652,0.061854459255348215,34.42422516908394,0.9954479273845408,0.47853071623904314,0.3225456208104599,1.6613000388748607
MPA,10,30.984586952548028,0.11193403329868439,36.118904219217,0.9969120715731714,0.39999638184987635,0.25611659416079646,1.920584495289977
PSO,6,21.545957049976227,0.004813555105895504,32.26969754193683,0.9923431433450185,0.5875450692457733,0.42562269681930054,1.300187537149959
PSO,8,26.584728619433662,0.008439132702436573,34.72666849725591,0.9958142060709132,0.5151854901423809,0.3557843860431817,1.5468775528000607
PSO,10,31.136787565791604,0.018267412134964373,36.58557419988715,0.9972767015761997,0.4529013273182077,0.30003641438002826,1.7957767904700224
QIGOA,6,21.5358832008677,0.016700603301617576,32.09668642830972,0.9912569523764571,0.5818412456295599,0.4200871506364051,1.8588747916974124
QIGOA,8,26.55366831528759,0.03954495555113001,34.6871601521667,0.9957437062232554,0.5033859516973669,0.34530884972688114,2.148929065109992
QIGOA,10,31.107627955488585,0.04524464492249833,36.541909224104856,0.997236970181951,0.4438725588945574,0.29252825292516826,2.443181614952591
WOA,6,21.525344807079357,0.02403708193260463,32.210586499813594,0.9919846465378594,0.5863686681116003,0.4242573554044985,1.4035586193674998
WOA,8,26.541437744751683,0.047187170574188406,34.74067828022851,0.9958255624976605,0.51486426277632,0.3549017529072084,1.663831576810071
WOA,10,31.08291886329344,0.05509775119297557,36.589535749185224,0.9972809875734703,0.45486500368204075,0.30163801318478056,1.9166477518698866
