image_id,algorithm,k,run,fitness_value,runtime_s,n_evals,thresholds,PSNR,SSIM,FSIM,Dice,IoU,Sensitivity,Specificity
BraTS20_Training_001_z67,GA,6,0,21.753459306160085,1.9354681400000118,10050,"1,48,91,126,167,207",32.20017661180813,0.9937311513800219,0.9479899531621263,0.3353449681944218,0.2014501273760533,0.20364500792393028,0.9999962541592453
BraTS20_Training_001_z67,GA,6,1,21.753459306160085,1.9159041179991618,10050,"1,48,91,126,167,207",32.20017661180813,0.9937311513800219,0.9479899531621263,0.3353449681944218,0.2014501273760533,0.20364500792393028,0.9999962541592453
BraTS20_Training_001_z67,GA,6,2,21.753459306160085,1.9569970289994671,10050,"1,48,91,126,167,207",32.20017661180813,0.9937311513800219,0.9479899531621263,0.3353449681944218,0.2014501273760533,0.20364500792393028,0.9999962541592453
BraTS20_Training_001_z67,GA,6,3,21.755155964291017,1.9157472690003488,10050,"1,48,91,126,164,204",32.155043816181255,0.9936650728918988,0.9482512581154405,0.35960828383368115,0.2192209825797612,0.2218700475435816,0.9999958455220721
BraTS20_Training_001_z67,GA,6,4,21.755155964291017,1.962273240000286,10050,"1,48,91,126,164,204",32.155043816181255,0.9936650728918988,0.9482512581154405,0.35960828383368115,0.2192209825797612,0.2218700475435816,0.9999958455220721
BraTS20_Training_001_z67,GA,6,5,21.7472552909043,2.0112704550010676,10050,"1,48,94,130,167,207",32.02979947556759,0.9934800050912105,0.945232968352656,0.3353449681944218,0.2014501273760533,0.20364500792393028,0.9999962541592453
BraTS20_Training_001_z67,GA,6,6,21.755155964291017,1.9392041510000126,10050,"1,48,91,126,164,204",32.155043816181255,0.9936650728918988,0.9482512581154405,0.35960828383368115,0.2192209825797612,0.2218700475435816,0.9999958455220721
BraTS20_Training_001_z67,GA,6,7,21.753459306160085,1.9049917949996598,10050,"1,48,91,126,167,207",32.20017661180813,0.9937311513800219,0.9479899531621263,0.3353449681944218,0.2014501273760533,0.20364500792393028,0.9999962541592453
BraTS20_Training_001_z67,GA,6,8,21.7472552909043,1.9280340089990204,10050,"1,48,94,130,167,207",32.02979947556759,0.9934800050912105,0.945232968352656,0.3353449681944218,0.2014501273760533,0.20364500792393028,0.9999962541592453
BraTS20_Training_001_z67,GA,6,9,21.755155964291017,1.9529133590003767,10050,"1,48,91,126,164,204",32.155043816181255,0.9936650728918988,0.9482512581154405,0.35960828383368115,0.2192209825797612,0.2218700475435816,0.9999958455220721
BraTS20_Training_001_z67,PSO,6,0,21.755155964291017,1.292581314999552,10050,"1,48,91,126,164,204",32.155043816181255,0.9936650728918988,0.9482512581154405,0.35960828383368115,0.2192209825797612,0.2218700475435816,0.9999958455220721
BraTS20_Training_001_z67,PSO,6,1,21.755155964291017,1.370656377999694,10050,"1,48,91,126,164,204",32.155043816181255,0.9936650728918988,0.9482512581154405,0.35960828383368115,0.2192209825797612,0.2218700475435816,0.9999958455220721
BraTS20_Training_001_z67,PSO,6,2,21.755155964291017,1.3472860500005481,10050,"1,48,91,126,164,204",32.155043816181255,0.9936650728918988,0.9482512581154405,0.35960828383368115,0.2192209825797612,0.2218700475435816,0.9999958455220721
BraTS20_Training_001_z67,PSO,6,3,21.755155964291017,1.3279647110011865,10050,"1,48,91,126,164,204",32.155043816181255,0.9936650728918988,0.9482512581154405,0.35960828383368115,0.2192209825797612,0.2218700475435816,0.9999958455220721
BraTS20_Training_001_z67,PSO,6,4,21.755155964291017,1.2892152109998278,10050,"1,48,91,126,164,204",32.155043816181255,0.9936650728918988,0.9482512581154405,0.35960828383368115,0.2192209825797612,0.2218700475435816,0.9999958455220721
BraTS20_Training_001_z67,PSO,6,5,21.755155964291017,1.3147045709993108,10050,"1,48,91,126,164,204",32.155043816181255,0.9936650728918988,0.9482512581154405,0.35960828383368115,0.2192209825797612,0.2218700475435816,0.9999958455220721
BraTS20_Training_001_z67,PSO,6,6,21.755155964291017,1.3392463130003307,10050,"1,48,91,126,164,204",32.155043816181255,0.9936650728918988,0.9482512581154405,0.35960828383368115,0.2192209825797612,0.2218700475435816,0.9999958455220721
BraTS20_Training_001_z67,PSO,6,7,21.755155964291017,1.2831500850006705,10050,"1,48,91,126,164,204",32.155043816181255,0.9936650728918988,0.9482512581154405,0.35960828383368115,0.2192209825797612,0.2218700475435816,0.9999958455220721
BraTS20_Training_001_z67,PSO,6,8,21.755155964291017,1.2713098830008676,10050,"1,48,91,126,164,204",32.155043816181255,0.9936650728918988,0.9482512581154405,0.35960828383368115,0.2192209825797612,0.2218700475435816,0.9999958455220721
BraTS20_Training_001_z67,PSO,6,9,21.755155964291017,1.2849058350002451,10050,"1,48,91,126,164,204",32.155043816181255,0.9936650728918988,0.9482512581154405,0.35960828383368115,0.2192209825797612,0.2218700475435816,0.9999958455220721
BraTS20_Training_001_z67,GOA,6,0,21.341719175086467,1.6402892260011868,10050,"7,60,92,139,187,216",32.072891459959635,0.9935388178075585,0.9516247981772898,0.2897966044713397,0.16945154314920385,0.1707606973058637,0.999997343858374
BraTS20_Training_001_z67,GOA,6,1,20.531526249079263,1.6489055980000558,10050,"17,79,94,117,181,217",30.75520410158641,0.99122344289298,0.9512131823000817,0.28088558391076557,0.16338969720802202,0.16461965134706816,0.9999974119645695
BraTS20_Training_001_z67,GOA,6,2,20.87094688171721,1.6461387640010798,10050,"8,49,75,120,142,224",31.272818828859275,0.9922337169287971,0.9491893344199751,0.24762890153474737,0.14131076559732336,0.14223454833597465,0.9999977524955472
BraTS20_Training_001_z67,GOA,6,3,20.59171282865492,1.6620280330007517,10050,"27,66,125,149,166,212",30.914937093027106,0.9915555161263123,0.9431870819335447,0.3074879628092313,0.18167549538944477,0.18343898573692552,0.9999966627964186
BraTS20_Training_001_z67,GOA,6,4,20.847344290911057,1.6635884119987168,10050,"8,26,82,110,148,217",31.278454081823337,0.992247435602115,0.9478775203646064,0.28088558391076557,0.16338969720802202,0.16461965134706816,0.9999974119645695
BraTS20_Training_001_z67,GOA,6,5,21.055333500514237,1.7012982899996132,10050,"3,75,96,135,169,211",30.813517325878305,0.9913458735277749,0.9524364606999671,0.31024196221412,0.18360141231855628,0.18541996830427893,0.9999965946902231
BraTS20_Training_001_z67,GOA,6,6,20.893315599593286,1.6007189089996245,10050,"8,73,127,160,193,211",30.339428897543673,0.9903289718707607,0.942866999595772,0.31024196221412,0.18360141231855628,0.18541996830427893,0.9999965946902231
BraTS20_Training_001_z67,GOA,6,7,20.648344344423716,1.65074893199926,10050,"29,55,112,127,168,197",30.756791109401824,0.991202623563215,0.9389523825324689,0.41760617760617763,0.2639078664844817,0.26782884310618066,0.9999948920353345
BraTS20_Training_001_z67,GOA,6,8,20.551029013292204,1.6392644309999014,10050,"4,28,85,96,162,215",30.268672862756823,0.990200816776682,0.9410188052057872,0.29404861693210393,0.17236635220125787,0.17373217115689382,0.9999972757521784
BraTS20_Training_001_z67,GOA,6,9,21.218070293934428,1.6664261769983568,10050,"2,41,95,131,158,227",31.241295215947567,0.9921657797212392,0.9395147705454459,0.23197492163009403,0.13120567375886524,0.13193343898573692,0.9999980930265249
