image_id,algorithm,k,run,fitness_value,runtime_s,n_evals,thresholds,PSNR,SSIM,FSIM,Dice,IoU,Sensitivity,Specificity
BraTS20_Training_001_z67,GA,3,0,406.15580881261167,0.93720441899859,7550,"84,136,197",20.983721295546044,0.9104264401870336,0.8992067480318221,0.41760617760617763,0.2639078664844817,0.26782884310618066,0.9999948920353345
BraTS20_Training_001_z67,GA,3,1,406.15580881261167,0.9251445830013836,7550,"84,136,197",20.983721295546044,0.9104264401870336,0.8992067480318221,0.41760617760617763,0.2639078664844817,0.26782884310618066,0.9999948920353345
BraTS20_Training_001_z67,GA,3,2,406.15580881261167,0.9264293369997176,7550,"84,136,197",20.983721295546044,0.9104264401870336,0.8992067480318221,0.41760617760617763,0.2639078664844817,0.26782884310618066,0.9999948920353345
BraTS20_Training_001_z67,GA,3,3,406.15580881261167,0.9177295619992947,7550,"84,136,197",20.983721295546044,0.9104264401870336,0.8992067480318221,0.41760617760617763,0.2639078664844817,0.26782884310618066,0.9999948920353345
BraTS20_Training_001_z67,GA,3,4,403.05775184728617,0.9142196339998918,7550,"4,107,184",26.300949485987246,0.9752540147761336,0.9005517552462966,0.5417908329785724,0.3715453483845854,0.3781695721077655,0.9999938704424015
BraTS20_Training_001_z67,GA,3,5,406.15580881261167,0.9624617659974319,7550,"84,136,197",20.983721295546044,0.9104264401870336,0.8992067480318221,0.41760617760617763,0.2639078664844817,0.26782884310618066,0.9999948920353345
BraTS20_Training_001_z67,GA,3,6,406.15580881261167,0.9418507980008144,7550,"84,136,197",20.983721295546044,0.9104264401870336,0.8992067480318221,0.41760617760617763,0.2639078664844817,0.26782884310618066,0.9999948920353345
BraTS20_Training_001_z67,GA,3,7,406.15580881261167,0.9148158520001743,7550,"84,136,197",20.983721295546044,0.9104264401870336,0.8992067480318221,0.41760617760617763,0.2639078664844817,0.26782884310618066,0.9999948920353345
BraTS20_Training_001_z67,GA,3,8,406.15580881261167,0.9251482400031819,7550,"84,136,197",20.983721295546044,0.9104264401870336,0.8992067480318221,0.41760617760617763,0.2639078664844817,0.26782884310618066,0.9999948920353345
BraTS20_Training_001_z67,GA,3,9,403.05775184728617,0.9273393569965265,7550,"4,107,184",26.300949485987246,0.9752540147761336,0.9005517552462966,0.5417908329785724,0.3715453483845854,0.3781695721077655,0.9999938704424015
BraTS20_Training_001_z67,PSO,3,0,406.15580881261167,0.49734379000074114,7550,"84,136,197",20.983721295546044,0.9104264401870336,0.8992067480318221,0.41760617760617763,0.2639078664844817,0.26782884310618066,0.9999948920353345
