target,include_zero_bg,2,3,4,5,6,8,10,monotone_increasing
et_t1ce,false,24.97412803945427,27.64158584583313,29.54842562300963,31.130821114511846,32.542813594914,34.97142071607444,36.928540912069195,True
et_t1ce,true,24.334179383723253,27.279910998013158,29.400145702338726,31.12068524151341,32.512016536580305,34.97441322353275,36.94324393627064,True
wt_flair,false,24.911796520806444,27.526238416009647,29.466783339141504,31.13667668985786,32.48449186217169,34.81374864987532,36.7154441802888,True
wt_flair,true,21.49843322624408,26.22114633235321,28.722905204492903,30.50639286924288,31.99695097875598,34.48633265327965,36.466188478726785,True
