# QIGOA reality-check | script=run_main_grid.py::summarise | experiment=week1 | data_source=brats | commit=1461520d7785c65a06704e47ba229ddde0b2d9ff | generated=2026-07-17T17:11:44
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
target,include_zero_bg,k,method,decode_rule,n_rows,n_patients,dice_median,dice_q1,dice_q3,dice_ci_low,dice_ci_high,hd95_median,nsd_median,n_components_median,empty_mask_rate,psnr_median,ssim_median,relative_gap_mean,relative_gap_std,hit_rate,nfe_mean,runtime_s_mean,placeholder
et_t1ce,na,-1,gmm,native,60,60,0.05396596546367285,0.029997739019750076,0.07541019035976246,0.0408056225742158,0.0655843065553323,97.31293736242961,0.0,1.0,0.0,,,,,,,,0
et_t1ce,na,-1,kmeans,native,60,60,0.0562963310786718,0.031561074955202925,0.07947458984197388,0.0420927338635502,0.06912209889001,95.15865317608998,0.02186087788594655,4.0,0.0,,,,,,,,0
et_t1ce,na,-1,li,native,60,60,0.05396596546367285,0.029997739019750076,0.07541019035976246,0.0408056225742158,0.0655843065553323,97.31293736242961,0.0,1.0,0.0,,,,,,,,0
et_t1ce,na,-1,otsu,native,60,60,0.0562963310786718,0.031561074955202925,0.07947458984197388,0.0420927338635502,0.06912209889001,95.15865317608998,0.02186087788594655,4.0,0.0,,,,,,,,0
et_t1ce,na,-1,triangle,native,60,60,0.05396596546367285,0.029997739019750076,0.07541019035976246,0.0408056225742158,0.0655843065553323,97.31293736242961,0.0,1.0,0.0,,,,,,,,0
et_t1ce,true,2,DP-exact,brightest,60,60,0.06161095693051945,0.0336642593711579,0.08398385129679803,0.04326233958643115,0.0760273972602739,92.61853352992587,0.083873306821133,14.0,0.0,24.37064866193818,0.8393054253499105,0.0,0.0,1.0,,0.15943600128339305,0
et_t1ce,true,2,DP-exact,morph,60,60,0.06155015725768245,0.03367028264784245,0.08424827737925338,0.04309326881825045,0.0755103784060818,93.60601800534587,0.07454590502185174,1.0,0.0,24.37064866193818,0.8393054253499105,0.0,0.0,1.0,,0.15943600128339305,0
et_t1ce,true,2,DP-exact,otsu_pick,60,60,0.05396596546367285,0.029997739019750076,0.07629014586602684,0.0408056225742158,0.0655843065553323,97.31293736242961,0.0,1.0,0.0,24.37064866193818,0.8393054253499105,0.0,0.0,1.0,,0.15943600128339305,0
et_t1ce,true,2,DP-exact,upper_union,60,60,0.05396596546367285,0.029997739019750076,0.07629014586602684,0.0408056225742158,0.0655843065553323,97.31293736242961,0.0,1.0,0.0,24.37064866193818,0.8393054253499105,0.0,0.0,1.0,,0.15943600128339305,0
et_t1ce,true,2,GA,brightest,180,60,0.06161095693051945,0.0336642593711579,0.08398385129679803,0.046710889994472,0.0672114743162108,92.61853352992587,0.08347181847945785,14.0,0.0,24.364011212080136,0.8393054253499105,0.00010752026481067148,0.0012351995740802722,0.9611111111111111,5000.0,0.33711632983347245,0
et_t1ce,true,2,GA,morph,180,60,0.061632887922767,0.03367028264784245,0.08424827737925338,0.0487012390702344,0.0660256955670892,93.60601800534587,0.0753968253968253,1.0,0.0,24.364011212080136,0.8393054253499105,0.00010752026481067148,0.0012351995740802722,0.9611111111111111,5000.0,0.33711632983347245,0
et_t1ce,true,2,GA,otsu_pick,180,60,0.05396596546367285,0.029998121234858524,0.07629014586602684,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.364011212080136,0.8393054253499105,0.00010752026481067148,0.0012351995740802722,0.9611111111111111,5000.0,0.33711632983347245,0
et_t1ce,true,2,GA,upper_union,180,60,0.05396596546367285,0.029998121234858524,0.07629014586602684,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.364011212080136,0.8393054253499105,0.00010752026481067148,0.0012351995740802722,0.9611111111111111,5000.0,0.33711632983347245,0
et_t1ce,true,2,GOA,brightest,180,60,0.06153126643970555,0.03318864845351827,0.0835218824746266,0.04695714878887065,0.0672114743162108,92.61124795103282,0.0852190063912836,14.0,0.0,24.49200978700723,0.844242614336048,0.0004820103707320078,0.0012009990578114467,0.6222222222222222,5000.0,2.2161653986888874,0
et_t1ce,true,2,GOA,morph,180,60,0.0614674265925979,0.03338871786264903,0.0835451087974201,0.0467320476535246,0.0648177397467479,93.65678852260528,0.07865542810798279,1.0,0.0,24.49200978700723,0.844242614336048,0.0004820103707320078,0.0012009990578114467,0.6222222222222222,5000.0,2.2161653986888874,0
et_t1ce,true,2,GOA,otsu_pick,180,60,0.05396596546367285,0.029997739019750076,0.076283618581907,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.49200978700723,0.844242614336048,0.0004820103707320078,0.0012009990578114467,0.6222222222222222,5000.0,2.2161653986888874,0
et_t1ce,true,2,GOA,upper_union,180,60,0.05396596546367285,0.029997739019750076,0.076283618581907,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.49200978700723,0.844242614336048,0.0004820103707320078,0.0012009990578114467,0.6222222222222222,5000.0,2.2161653986888874,0
et_t1ce,true,2,GOA-fixed,brightest,180,60,0.06161095693051945,0.0336642593711579,0.0835218824746266,0.046710889994472,0.0672114743162108,92.61853352992587,0.083873306821133,14.0,0.0,24.37064866193818,0.8393054253499105,6.0093635278647784e-05,0.0008062407209888161,0.9944444444444445,5000.0,2.7926484278443997,0
et_t1ce,true,2,GOA-fixed,morph,180,60,0.06155015725768245,0.03367028264784245,0.0838090121549929,0.0467320476535246,0.0660256955670892,93.6994812256124,0.07454590502185174,1.0,0.0,24.37064866193818,0.8393054253499105,6.0093635278647784e-05,0.0008062407209888161,0.9944444444444445,5000.0,2.7926484278443997,0
et_t1ce,true,2,GOA-fixed,otsu_pick,180,60,0.05396596546367285,0.029997739019750076,0.076283618581907,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.37064866193818,0.8393054253499105,6.0093635278647784e-05,0.0008062407209888161,0.9944444444444445,5000.0,2.7926484278443997,0
et_t1ce,true,2,GOA-fixed,upper_union,180,60,0.05396596546367285,0.029997739019750076,0.076283618581907,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.37064866193818,0.8393054253499105,6.0093635278647784e-05,0.0008062407209888161,0.9944444444444445,5000.0,2.7926484278443997,0
et_t1ce,true,2,GWO,brightest,180,60,0.06161095693051945,0.0336642593711579,0.0835218824746266,0.046710889994472,0.0672114743162108,92.61853352992587,0.083873306821133,14.0,0.0,24.506412488763107,0.8442992784733352,0.0001715931644037,0.0011841085403801947,0.9666666666666667,5000.0,0.41177282266103754,0
et_t1ce,true,2,GWO,morph,180,60,0.06155015725768245,0.03367028264784245,0.0838090121549929,0.0467320476535246,0.0660256955670892,93.6994812256124,0.0753968253968253,1.0,0.0,24.506412488763107,0.8442992784733352,0.0001715931644037,0.0011841085403801947,0.9666666666666667,5000.0,0.41177282266103754,0
et_t1ce,true,2,GWO,otsu_pick,180,60,0.05396596546367285,0.029997739019750076,0.076283618581907,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.506412488763107,0.8442992784733352,0.0001715931644037,0.0011841085403801947,0.9666666666666667,5000.0,0.41177282266103754,0
et_t1ce,true,2,GWO,upper_union,180,60,0.05396596546367285,0.029997739019750076,0.076283618581907,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.506412488763107,0.8442992784733352,0.0001715931644037,0.0011841085403801947,0.9666666666666667,5000.0,0.41177282266103754,0
et_t1ce,true,2,MPA,brightest,180,60,0.06161095693051945,0.0336642593711579,0.08398385129679803,0.046710889994472,0.0672114743162108,92.61853352992587,0.083873306821133,14.0,0.0,24.37064866193818,0.8393054253499105,0.0,0.0,1.0,5000.0,0.32945588344443116,0
et_t1ce,true,2,MPA,morph,180,60,0.06155015725768245,0.03367028264784245,0.08424827737925338,0.0467320476535246,0.0660256955670892,93.60601800534587,0.07454590502185174,1.0,0.0,24.37064866193818,0.8393054253499105,0.0,0.0,1.0,5000.0,0.32945588344443116,0
et_t1ce,true,2,MPA,otsu_pick,180,60,0.05396596546367285,0.029997739019750076,0.07629014586602684,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.37064866193818,0.8393054253499105,0.0,0.0,1.0,5000.0,0.32945588344443116,0
et_t1ce,true,2,MPA,upper_union,180,60,0.05396596546367285,0.029997739019750076,0.07629014586602684,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.37064866193818,0.8393054253499105,0.0,0.0,1.0,5000.0,0.32945588344443116,0
et_t1ce,true,2,PSO,brightest,180,60,0.06161095693051945,0.0336642593711579,0.08398385129679803,0.046710889994472,0.0672114743162108,92.61853352992587,0.083873306821133,14.0,0.0,24.377286111796224,0.8395238200068418,0.00010038120757208498,0.0012041933656889124,0.9888888888888889,5000.0,0.30197864877214264,0
et_t1ce,true,2,PSO,morph,180,60,0.06155015725768245,0.03367028264784245,0.08424827737925338,0.0467320476535246,0.0660256955670892,93.60601800534587,0.0753968253968253,1.0,0.0,24.377286111796224,0.8395238200068418,0.00010038120757208498,0.0012041933656889124,0.9888888888888889,5000.0,0.30197864877214264,0
et_t1ce,true,2,PSO,otsu_pick,180,60,0.05396596546367285,0.029997739019750076,0.07629014586602684,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.377286111796224,0.8395238200068418,0.00010038120757208498,0.0012041933656889124,0.9888888888888889,5000.0,0.30197864877214264,0
et_t1ce,true,2,PSO,upper_union,180,60,0.05396596546367285,0.029997739019750076,0.07629014586602684,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.377286111796224,0.8395238200068418,0.00010038120757208498,0.0012041933656889124,0.9888888888888889,5000.0,0.30197864877214264,0
et_t1ce,true,2,QIGOA,brightest,180,60,0.06161095693051945,0.0336642593711579,0.08398385129679803,0.046710889994472,0.0672114743162108,92.61853352992587,0.083873306821133,14.0,0.0,24.364011212080136,0.8395238200068418,2.2395577465725003e-05,0.0002142674242742405,0.9777777777777777,5000.0,0.23346257774447723,0
et_t1ce,true,2,QIGOA,morph,180,60,0.06155015725768245,0.03367028264784245,0.08424827737925338,0.0467320476535246,0.0660256955670892,93.60601800534587,0.0753968253968253,1.0,0.0,24.364011212080136,0.8395238200068418,2.2395577465725003e-05,0.0002142674242742405,0.9777777777777777,5000.0,0.23346257774447723,0
et_t1ce,true,2,QIGOA,otsu_pick,180,60,0.05396596546367285,0.029997739019750076,0.07629014586602684,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.364011212080136,0.8395238200068418,2.2395577465725003e-05,0.0002142674242742405,0.9777777777777777,5000.0,0.23346257774447723,0
et_t1ce,true,2,QIGOA,upper_union,180,60,0.05396596546367285,0.029997739019750076,0.07629014586602684,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.364011212080136,0.8395238200068418,2.2395577465725003e-05,0.0002142674242742405,0.9777777777777777,5000.0,0.23346257774447723,0
et_t1ce,true,2,WOA,brightest,180,60,0.06161095693051945,0.0336642593711579,0.0835218824746266,0.046710889994472,0.0672114743162108,92.61853352992587,0.083873306821133,14.0,0.0,24.544284883528,0.8451050177760455,0.00013720247604825445,0.0009062791455258365,0.9611111111111111,5000.0,0.3624116230888426,0
et_t1ce,true,2,WOA,morph,180,60,0.06155015725768245,0.03367028264784245,0.0838090121549929,0.0467320476535246,0.0660256955670892,93.6994812256124,0.07865542810798279,1.0,0.0,24.544284883528,0.8451050177760455,0.00013720247604825445,0.0009062791455258365,0.9611111111111111,5000.0,0.3624116230888426,0
et_t1ce,true,2,WOA,otsu_pick,180,60,0.05396596546367285,0.029997739019750076,0.076283618581907,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.544284883528,0.8451050177760455,0.00013720247604825445,0.0009062791455258365,0.9611111111111111,5000.0,0.3624116230888426,0
et_t1ce,true,2,WOA,upper_union,180,60,0.05396596546367285,0.029997739019750076,0.076283618581907,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.544284883528,0.8451050177760455,0.00013720247604825445,0.0009062791455258365,0.9611111111111111,5000.0,0.3624116230888426,0
et_t1ce,true,2,random,brightest,180,60,0.06161095693051945,0.0336642593711579,0.08398385129679803,0.046710889994472,0.0672114743162108,92.61853352992587,0.083873306821133,14.0,0.0,24.364011212080136,0.8393054253499105,3.846285120259751e-05,0.0002271639736529921,0.9444444444444444,5000.0,0.1724049179056389,0
et_t1ce,true,2,random,morph,180,60,0.06155015725768245,0.03367028264784245,0.08424827737925338,0.0467320476535246,0.0660256955670892,93.60601800534587,0.0753968253968253,1.0,0.0,24.364011212080136,0.8393054253499105,3.846285120259751e-05,0.0002271639736529921,0.9444444444444444,5000.0,0.1724049179056389,0
et_t1ce,true,2,random,otsu_pick,180,60,0.05396596546367285,0.029998121234858524,0.07629014586602684,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.364011212080136,0.8393054253499105,3.846285120259751e-05,0.0002271639736529921,0.9444444444444444,5000.0,0.1724049179056389,0
et_t1ce,true,2,random,upper_union,180,60,0.05396596546367285,0.029998121234858524,0.07629014586602684,0.044140503574759,0.0580583146427427,97.31293736242961,0.0,1.0,0.0,24.364011212080136,0.8393054253499105,3.846285120259751e-05,0.0002271639736529921,0.9444444444444444,5000.0,0.1724049179056389,0
et_t1ce,true,3,DP-exact,brightest,60,60,0.07531925860499669,0.0443767898086748,0.1938141035613934,0.06175901000915495,0.1216232586311326,89.05330186586936,0.1107292298285511,136.0,0.0,27.58427190605679,0.9030457965321025,0.0,0.0,1.0,,0.23760484371637175,0
et_t1ce,true,3,DP-exact,morph,60,60,0.00264965325814655,0.0,0.07602212764407608,0.0,0.0529241368511704,87.69003440040903,0.0092792221517649,1.0,0.0,27.58427190605679,0.9030457965321025,0.0,0.0,1.0,,0.23760484371637175,0
et_t1ce,true,3,DP-exact,otsu_pick,60,60,0.05758933325029175,0.032043967491807296,0.08176073167889102,0.0427472527472527,0.0700363825363825,94.1195774354724,0.06411888608016815,9.5,0.0,27.58427190605679,0.9030457965321025,0.0,0.0,1.0,,0.23760484371637175,0
et_t1ce,true,3,DP-exact,upper_union,60,60,0.05758933325029175,0.032043967491807296,0.08176073167889102,0.0427472527472527,0.0700363825363825,94.1195774354724,0.06411888608016815,9.5,0.0,27.58427190605679,0.9030457965321025,0.0,0.0,1.0,,0.23760484371637175,0
et_t1ce,true,3,GA,brightest,180,60,0.07881013965348715,0.043712402901005004,0.18916390927518617,0.0670691685772648,0.0931056293485136,88.95729258472312,0.1106637589583357,136.5,0.0,27.628876219747312,0.9025296654933073,0.0002918020387147586,0.00044295338761664565,0.43333333333333335,5000.0,0.3506291756111346,0
et_t1ce,true,3,GA,morph,180,60,0.0048273301151132,0.0,0.07728623560486733,0.0,0.039809543262500705,86.02440457827447,0.0105263157894736,1.0,0.0,27.628876219747312,0.9025296654933073,0.0002918020387147586,0.00044295338761664565,0.43333333333333335,5000.0,0.3506291756111346,0
et_t1ce,true,3,GA,otsu_pick,180,60,0.0573428456050612,0.032121416940942976,0.0823811337738866,0.0461158742530527,0.0628763478504411,94.15438243060962,0.06411888608016815,9.5,0.0,27.628876219747312,0.9025296654933073,0.0002918020387147586,0.00044295338761664565,0.43333333333333335,5000.0,0.3506291756111346,0
et_t1ce,true,3,GA,upper_union,180,60,0.0573428456050612,0.032121416940942976,0.0823811337738866,0.0461158742530527,0.0628763478504411,94.15438243060962,0.06411888608016815,9.5,0.0,27.628876219747312,0.9025296654933073,0.0002918020387147586,0.00044295338761664565,0.43333333333333335,5000.0,0.3506291756111346,0
et_t1ce,true,3,GOA,brightest,180,60,0.0785912286104698,0.044440829027722825,0.1878138146288505,0.0674424905957538,0.1007529089664613,88.10362701597077,0.1100583090379008,143.0,0.0,27.489274833680074,0.9034372247965166,0.0005245287670903499,0.0005992005606048374,0.2722222222222222,5000.0,2.240232578572189,0
